id,nama_kecamatan,nama_puskesmas,id_desa_bps,id_desa_dagri,nama_desa,jumlah_keluarga,jumlah_keluarga_beresiko_stunting,jumlah_balita,jumlah_balita_sangat_pendek,jumlah_balita_pendek
1,MEDAN TUNTUNGAN,TUNTUNGAN,1275010001,1271071007,Baru Ladang Bambu,1245,781,298,0,5
2,MEDAN TUNTUNGAN,TUNTUNGAN,1275010002,1271071006,Sidomulyo,462,330,146,0,0
3,MEDAN TUNTUNGAN,TUNTUNGAN,1275010003,1271071005,Lau Cih,410,222,111,0,0
4,MEDAN TUNTUNGAN,TUNTUNGAN,1275010004,1271071003,Namu Gajah,769,534,198,0,6
5,MEDAN TUNTUNGAN,TUNTUNGAN,1275010005,1271071004,Kemenangan Tani,1206,645,281,0,2
6,MEDAN TUNTUNGAN,SIMALINGKAR,1275010006,1271071008,Simalingkar B,1402,824,342,0,2
7,MEDAN TUNTUNGAN,SIMALINGKAR,1275010007,1271071002,Simpang Selayang,3119,1742,940,1,2
8,MEDAN TUNTUNGAN,TUNTUNGAN,1275010008,1271071001,Tanjung Selamat,2401,1620,892,0,8
9,MEDAN TUNTUNGAN,SIMALINGKAR,1275010009,1271071009,Mangga,6337,3004,1457,1,1
10,MEDAN JOHOR,MEDAN JOHOR,1275020001,1271111006,Kwala Bekala,7657,2497,1468,0,2
11,MEDAN JOHOR,MEDAN JOHOR,1275020002,1271111005,Gedung Johor,6122,1566,1491,0,0
12,MEDAN JOHOR,KEDAI DURIAN,1275020003,1271111003,Kedai Durian,1940,562,462,1,2
13,MEDAN JOHOR,KEDAI DURIAN,1275020004,1271111001,Suka Maju,2923,667,754,2,1
14,MEDAN JOHOR,KEDAI DURIAN,1275020005,1271111002,Titi Kuning,4776,1243,1041,1,4
15,MEDAN JOHOR,MEDAN JOHOR,1275020006,1271111004,Pangkalan Masyhur,5984,1638,1734,0,0
16,MEDAN AMPLAS,AMPLAS,1275030001,1271091005,Harjosari II,6962,1880,1830,0,0
17,MEDAN AMPLAS,AMPLAS,1275030002,1271091002,Sitirejo II,1667,357,396,0,1
18,MEDAN AMPLAS,AMPLAS,1275030003,1271091003,Sitirejo III,2314,633,639,0,0
19,MEDAN AMPLAS,AMPLAS,1275030004,1271091004,Harjosari I,5985,1745,1832,0,2
20,MEDAN AMPLAS,AMPLAS,1275030005,1271091001,Amplas,2982,930,942,0,1
21,MEDAN AMPLAS,AMPLAS,1275030006,1271091006,Timbang Deli,3277,954,885,0,0
22,MEDAN AMPLAS,AMPLAS,1275030007,1271091007,Bangun Mulia,724,152,123,0,0
23,MEDAN DENAI,DESA BINJAI,1275040001,1271041005,Binjai,7789,2210,2659,0,3
24,MEDAN DENAI,MEDAN DENAI,1275040002,1271041006,Medan Tenggara,3252,998,925,0,0
25,MEDAN DENAI,MEDAN DENAI,1275040003,1271041004,Denai,3281,1068,1144,0,1
26,MEDAN DENAI,TEGAL SARI,1275040004,1271041003,Tegal Sari Mandala III,5621,1848,1959,4,3
27,MEDAN DENAI,BROMO,1275040005,1271041002,Tegal Sari Mandala II,4231,1308,1173,1,3
28,MEDAN DENAI,TEGAL SARI,1275040006,1271041001,Tegal Sari Mandala I,2331,533,485,0,0
29,MEDAN AREA,MEDAN AREA SELATAN,1275050001,1271101009,Pasar Merah Timur,1800,893,472,1,1
30,MEDAN AREA,MEDAN AREA SELATAN,1275050002,1271101011,Tegal Sari II,1368,752,481,1,6
31,MEDAN AREA,MEDAN AREA SELATAN,1275050003,1271101012,Tegal Sari III,2099,1131,385,1,4
32,MEDAN AREA,MEDAN AREA SELATAN,1275050004,1271101010,Tegal Sari I,1775,825,472,0,3
33,MEDAN AREA,MEDAN AREA SELATAN,1275050005,1271101001,Sukaramai I,2165,986,486,0,1
34,MEDAN AREA,MEDAN AREA SELATAN,1275050006,1271101007,Kota Matsum II,1629,775,481,0,0
35,MEDAN AREA,MEDAN AREA SELATAN,1275050007,1271101008,Kota Matsum IV,1830,791,492,0,0
36,MEDAN AREA,MEDAN AREA SELATAN,1275050008,1271101006,Kota Matsum I,2346,1049,663,1,0
37,MEDAN AREA,MEDAN AREA SELATAN,1275050009,1271101004,Sei Rengas Permata,917,312,142,0,0
38,MEDAN AREA,MEDAN AREA SELATAN,1275050010,1271101002,Sukaramai II,1195,421,396,0,0
39,MEDAN AREA,MEDAN AREA SELATAN,1275050011,1271101003,Sei Rengas II,880,269,262,0,0
40,MEDAN AREA,MEDAN AREA SELATAN,1275050012,1271101005,Pandau Hulu II,2327,750,305,0,0
41,MEDAN KOTA,SIMPANG LIMUN,1275060001,1271011012,Siti Rejo I,1594,562,410,0,0
42,MEDAN KOTA,SIMPANG LIMUN,1275060002,1271011011,Sudi Rejo II,1275,490,519,0,0
43,MEDAN KOTA,SIMPANG LIMUN,1275060003,1271011010,SUDI REJO I,2042,785,743,0,0
44,MEDAN KOTA,PASAR MERAH,1275060004,1271011008,Teladan Timur,1904,675,482,3,2
45,MEDAN KOTA,TELADAN,1275060005,1271011009,Teladan Barat,1199,427,494,0,1
46,MEDAN KOTA,PASAR MERAH,1275060006,1271011007,Pasar Merah Barat,634,237,283,0,0
47,MEDAN KOTA,TELADAN,1275060007,1271011004,Mesjid,619,219,238,0,0
48,MEDAN KOTA,PASAR MERAH,1275060008,1271011006,Kota Matsum III,1168,344,212,0,0
49,MEDAN KOTA,PASAR MERAH,1275060009,1271011003,Sei Rengas I,1044,279,152,0,0
50,MEDAN KOTA,TELADAN,1275060010,1271011001,Pasar Baru,450,110,175,0,0
51,MEDAN KOTA,TELADAN,1275060011,1271011002,Pusat Pasar,686,167,196,0,0
52,MEDAN KOTA,TELADAN,1275060012,1271011005,Pandau Hulu I,1230,293,211,0,0
53,MEDAN MAIMUN,KAMPUNG BARU,1275070001,1271151006,Kampung Baru,4168,1459,751,5,5
54,MEDAN MAIMUN,KAMPUNG BARU,1275070002,1271151005,Sei Mati,2217,851,410,7,2
55,MEDAN MAIMUN,KAMPUNG BARU,1275070003,1271151004,Suka Raja,757,286,156,3,2
56,MEDAN MAIMUN,KAMPUNG BARU,1275070004,1271151003,Jati,289,65,34,0,1
57,MEDAN MAIMUN,KAMPUNG BARU,1275070005,1271151002,Hamdan,979,851,270,3,2
58,MEDAN MAIMUN,KAMPUNG BARU,1275070006,1271151001,Aur,1822,663,321,0,1
59,MEDAN POLONIA,POLONIA,1275080001,1271161003,Sari Rejo,5005,1531,1630,0,7
60,MEDAN POLONIA,POLONIA,1275080002,1271161004,Suka Damai,1261,361,248,0,0
61,MEDAN POLONIA,POLONIA,1275080003,1271161002,Polonia,3771,1002,890,2,3
62,MEDAN POLONIA,POLONIA,1275080004,1271161005,Anggrung,556,131,109,0,0
63,MEDAN POLONIA,POLONIA,1275080005,1271161001,Madras Hulu,858,100,110,0,0
64,MEDAN BARU,PADANG BULAN,1275090001,1271171006,Titi Rantai,1480,537,446,0,0
65,MEDAN BARU,PADANG BULAN,1275090002,1271171005,Padang Bulan,1492,347,391,0,0
66,MEDAN BARU,PADANG BULAN,1275090003,1271171003,Merdeka,1339,304,391,0,0
67,MEDAN BARU,PADANG BULAN,1275090004,1271171004,Darat,342,50,147,0,0
68,MEDAN BARU,PADANG BULAN,1275090005,1271171002,Babura,1543,387,434,0,0
